System,id,Mol Mass,Mol Frac,Melt(K),Var(%),Reference,Boil(K),Var(%) .1,Reference,rho_a,rho_b,range(K),Var(%) .2,Reference,mu1_a,mu1_b,mu2_a,mu2_b,mu2_c,range(K)      .1,Var(%) .3,Reference,k_a,k_b,range(K),Var(%) .4,Reference   .1,cp_a,cp_b,cp_c,cp_d,Var(%) .5,Reference,Composition
KCl-UCl3,73,247.2467,0.36-0.64,960,10,Yingling 2023 [161],----,----,----,4.53,0.000796,1022-1184,1,Desyatnik 1976 [45],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.10975609756097561, 'Cl': 0.6951219512195121, 'U': 0.1951219512195122}"
KCl-UCl3,74,236.4533,0.4-0.6,930,10,Yingling 2023 [161],----,----,----,,,----,----,----,,,-1.2387,1781.0,0.0,953-1245,15*,Katyshev 2001 [166],,,,,,,,,,,,"{'K': 0.12500000000000003, 'Cl': 0.6875, 'U': 0.1875}"
KCl-UCl3,75,222.9614,0.45-0.55,874,10,Yingling 2023 [161],----,----,----,4.61,0.00108,919-1118,1,Desyatnik 1976 [45],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.14516129032258066, 'Cl': 0.6774193548387097, 'U': 0.1774193548387097}"
KCl-UCl3,76,220.2631,0.46-0.54,864,10,Yingling 2023 [161],----,----,----,4.43,0.000953,965-1138,1,Desyatnik 1976 [45],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.14935064935064934, 'Cl': 0.6753246753246753, 'U': 0.17532467532467533}"
KCl-UCl3,77,209.4696,0.5-0.5,815,10,Yingling 2023 [161],----,----,----,,,----,----,----,,,-1.2151,1657.0,0.0,873-1260,15*,Katyshev 2001 [166],,,----,----,----,,,,,----,----,"{'K': 0.16666666666666666, 'Cl': 0.6666666666666666, 'U': 0.16666666666666666}"
KCl-UCl3,78,200.0253,0.535-0.465,837,10,Yingling 2023 [161],----,----,----,4.12,0.000893,863-1115,1,Desyatnik 1976 [45],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.1825938566552901, 'Cl': 0.658703071672355, 'U': 0.15870307167235495}"
KCl-UCl3,79,189.2319,0.575-0.425,858,10,Yingling 2023 [161],----,----,----,3.99,0.000892,865-1134,1,Desyatnik 1976 [45],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.2017543859649123, 'Cl': 0.6491228070175439, 'U': 0.14912280701754388}"
KCl-UCl3,80,182.4859,0.60-0.40,869,10,Yingling 2023 [161],----,----,----,3.8,0.000798,932-1120,1,Desyatnik 1976 [45],,,-1.2414,1638.0,0.0,948-1239,15*,Katyshev 2001 [166],,,----,----,----,,,,,----,----,"{'K': 0.21428571428571425, 'Cl': 0.6428571428571429, 'U': 0.14285714285714285}"
KCl-UCl3,81,173.5813,0.633-0.367,879,10,Yingling 2023 [161],----,----,----,3.61,0.000736,910-1141,1,Desyatnik 1976 [45],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.23152889539136795, 'Cl': 0.634235552304316, 'U': 0.13423555230431602}"
KCl-UCl3,82,164.4069,0.667-0.333,883,10,Yingling 2023 [161],----,----,----,3.55,0.000787,969-1094,1,Desyatnik 1976 [45],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.2501875468867217, 'Cl': 0.6249062265566391, 'U': 0.12490622655663915}"
KCl-UCl3,83,160.3593,0.682-0.318,883,10,Yingling 2023 [161],----,----,----,3.49,0.000778,950-1159,1,Desyatnik 1976 [45],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.25872534142640363, 'Cl': 0.6206373292867982, 'U': 0.12063732928679817}"
KCl-UCl3,84,155.5023,0.7-0.3,879,10,Yingling 2023 [161],----,----,----,,,----,----,----,,,-1.0585,1346.0,0.0,975-1222,15*,Katyshev 2001 [166],,,----,----,----,,,,,----,----,"{'K': 0.2692307692307693, 'Cl': 0.6153846153846154, 'U': 0.11538461538461539}"
KCl-UCl3,85,142.0105,0.75-0.25,880,10,Yingling 2023 [161],----,----,----,3.33,0.000833,975-1158,1,Desyatnik 1976 [45],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.3, 'Cl': 0.6, 'U': 0.1}"
KCl-UCl3,86,133.9154,0.78-0.22,874,10,Yingling 2023 [161],----,----,----,3.12,0.000724,956-1137,1,Desyatnik 1976 [45],,,-0.9033,1057.0,0.0,942-1240,15*,Katyshev 2001 [166],,,----,----,----,,,,,----,----,"{'K': 0.319672131147541, 'Cl': 0.5901639344262295, 'U': 0.09016393442622951}"
KCl-UCl3,87,112.0586,0.861-0.139,957,10,Yingling 2023 [161],----,----,----,2.76,0.000682,998-1158,1,Desyatnik 1976 [45],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.37796312554872696, 'Cl': 0.5610184372256365, 'U': 0.061018437225636525}"
KCl-UCl3,88,101.535,0.90-0.10,993,10,Yingling 2023 [161],----,----,----,2.67,0.000698,1022-1206,1,Desyatnik 1976 [45],,,-0.7024,789.0,0.0,1025-1240,15*,Katyshev 2001 [166],,,----,----,----,,,,,----,----,"{'K': 0.40909090909090906, 'Cl': 0.5454545454545455, 'U': 0.045454545454545456}"
KCl-KF,89,60.5649,0.15-0.85,----,----,----,----,----,----,2.58,0.000676,1093-1195,5,Katyshev 2001 [166],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.5, 'Cl': 0.075, 'F': 0.425}"
KCl-KF,90,61.3876,0.2-0.8,----,----,----,----,----,----,2.55,0.000677,1061-1153,5,Katyshev 2001 [166],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.5, 'Cl': 0.1, 'F': 0.4}"
KCl-KF,91,62.2104,0.25-0.75,----,----,----,----,----,----,2.4679,0.000633,1046-1181,5,Katyshev 2001 [166],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.5, 'Cl': 0.125, 'F': 0.375}"
KCl-KF,92,64.6785,0.4-0.6,----,----,----,----,----,----,2.3804,0.000619,962-1158,5,Katyshev 2001 [166],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.5, 'Cl': 0.2, 'F': 0.3}"
KCl-KF,93,66.324,0.5-0.5,----,----,----,----,----,----,2.3369,0.000624,970-1227,5,Katyshev 2001 [166],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.5, 'Cl': 0.25, 'F': 0.25}"
KCl-KF,94,67.9695,0.6-0.4,----,----,----,----,----,----,2.3173,0.000635,975-1141,5,Katyshev 2001 [166],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.5, 'Cl': 0.3, 'F': 0.2}"
KCl-KF,95,71.2604,0.8-0.2,----,----,----,----,----,----,2.2469,0.000634,1009-1159,5,Katyshev 2001 [166],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.5, 'Cl': 0.4, 'F': 0.1}"
KCl-KF,96,72.0831,0.85-0.15,----,----,----,----,----,----,2.1695,0.00058,1031-1141,5,Katyshev 2001 [166],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.5, 'Cl': 0.425, 'F': 0.075}"
KF-LiF,97,30.763,0.15-0.85,1049,5*,Aukrust 1960 [6],----,----,----,,,----,----,----,0.1307,23671.0,,,,1050-1210,15,Nguyen 2000 [169],,,----,----,----,,,,,----,----,"{'K': 0.075, 'F': 0.5, 'Li': 0.425}"
KF-LiF,98,32.3709,0.20-0.80,1013,5*,Aukrust 1960 [6],----,----,----,2.42,0.000524,1082-1286,1,Taniuchi 1977 [136],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.1, 'F': 0.5, 'Li': 0.4}"
KF-LiF,99,35.5866,0.30-0.70,939,5*,Aukrust 1960 [6],----,----,----,2.46,0.000549,1019-1293,1,Taniuchi 1977 [136],0.0882,26193.0,,,,940-1090,15,Nguyen 2000 [169],,,----,----,----,,,,,----,----,"{'K': 0.15, 'F': 0.5, 'Li': 0.35}"
KF-LiF,100,38.8023,0.40-0.60,852,5*,Aukrust 1960 [6],----,----,----,2.52,0.000589,1006-1296,1,Taniuchi 1977 [136],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.2, 'F': 0.5, 'Li': 0.3}"
KF-LiF,101,42.018,0.50-0.50,779,5*,Aukrust 1960 [6],----,----,----,,,----,----,----,0.0697,27738.0,,,,830-970,15,Nguyen 2000 [169],,,----,----,----,,,,,----,----,"{'K': 0.25, 'F': 0.5, 'Li': 0.25}"
KF-LiF,102,45.2338,0.60-0.40,890,5*,Aukrust 1960 [6],----,----,----,2.58,0.000627,1064-1305,1,Taniuchi 1977 [136],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.3, 'F': 0.5, 'Li': 0.2}"
KF-LiF,103,46.842,0.65-0.35,935,5*,Aukrust 1960 [6],----,----,----,,,----,----,----,0.0683,27657.0,,,,930-1060,15,Nguyen 2000 [169],,,----,----,----,,,,,----,----,"{'K': 0.325, 'F': 0.5, 'Li': 0.175}"
KF-LiF,104,51.6652,0.80-0.20,1034,5*,Aukrust 1960 [6],----,----,----,2.63,0.000654,1154-1301,1,Taniuchi 1977 [136],0.0778,26300.0,,,,1038-1180,15,Nguyen 2000 [169],,,----,----,----,,,,,----,----,"{'K': 0.4, 'F': 0.5, 'Li': 0.1}"
LiCl-KCl,105,68.1198,0.20-0.80,961,5*,Yingling 2023 [161],----,----,----,2.12,0.000578,980-1120,0.5,Van Artsdalen 1955 [144],0.0704,23900.0,,,,970-1080,11,Borcan 1970 [23],,,----,----,----,,,,,----,----,"{'Li': 0.1, 'Cl': 0.5, 'K': 0.4}"
LiCl-KCl,106,64.9041,0.30-0.70,904,5*,Yingling 2023 [161],----,----,----,,,----,----,----,0.0919,21300.0,,,,920-1080,11,Borcan 1970 [23],,,----,----,----,,,,,----,----,"{'Li': 0.15, 'Cl': 0.5, 'K': 0.35}"
LiCl-KCl,107,61.6884,0.40-0.60,831,5*,Yingling 2023 [161],----,----,----,2.08,0.000561,860-1000,0.5,Van Artsdalen 1955 [144],0.0779,22300.0,,,,920-1070,11,Borcan 1970 [23],,,----,----,----,,,,,----,----,"{'Li': 0.2, 'Cl': 0.5, 'K': 0.3}"
LiCl-KCl,108,58.4727,0.50-0.50,738,5*,Yingling 2023 [161],----,----,----,,,----,----,----,0.0786,22000.0,,,,930-1070,11,Borcan 1970 [23],,,----,----,----,,,,,----,----,"{'Li': 0.25, 'Cl': 0.5, 'K': 0.25}"
LiCl-KCl,109,55.8358,0.582-0.418,644,5*,Yingling 2023 [161],1673,----,Williams  2006 [149],2.03,0.000528,668-866,0.5,Van Artsdalen 1955 [144],,,,,,----,----,----,,,----,----,----,70.9,,,,----,Redkin 2017 [118],"{'Li': 0.291, 'Cl': 0.5, 'K': 0.209}"
LiCl-KCl,110,55.2569,0.60-0.40,645,5*,Yingling 2023 [161],----,----,----,,,----,----,----,0.087,20900.0,,,,890-1070,11,Borcan 1970 [23],,,----,----,----,,,,,----,----,"{'Li': 0.3, 'Cl': 0.5, 'K': 0.2}"
LiCl-KCl,111,52.0412,0.70-0.30,717,5*,Yingling 2023 [161],----,----,----,2.0,0.000507,740-860,0.5,Van Artsdalen 1955 [144],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.35, 'Cl': 0.5, 'K': 0.15}"
LiCl-KCl,112,48.8255,0.80-0.20,787,5*,Yingling 2023 [161],----,----,----,,,----,----,----,0.0889,20800.0,,,,910-1070,11,Borcan 1970 [23],,,----,----,----,,,,,----,----,"{'Li': 0.4, 'Cl': 0.5, 'K': 0.1}"
LiCl-KCl,113,48.2563,0.8177-0.1823,798,5*,Yingling 2023 [161],----,----,----,1.97,0.000489,820-920,0.5,Van Artsdalen 1955 [144],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.40885, 'Cl': 0.5, 'K': 0.09115}"
NaCl-LiCl,114,45.6038,0.2-0.8,830,5*,SALTDBLEAN-TC [156],----,----,----,1.9123,0.000453,1045-1255,5,Katyshev 2001 [166],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Na': 0.1, 'Cl': 0.5, 'Li': 0.4}"
NaCl-LiCl,115,47.2086,0.3-0.7,828,5*,SALTDBLEAN-TC [156],----,----,----,1.9421,0.000469,980-1207,5,Katyshev 2001 [166],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Na': 0.15, 'Cl': 0.5, 'Li': 0.35}"
NaCl-LiCl,116,50.4184,0.5-0.5,909,5*,SALTDBLEAN-TC [156],----,----,----,1.9625,0.000476,901-1143,5,Katyshev 2001 [166],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Na': 0.25, 'Cl': 0.5, 'Li': 0.25}"
NaCl-LiCl,117,53.6281,0.7-0.3,983,5*,SALTDBLEAN-TC [156],----,----,----,1.9989,0.000483,850-1100,5,Katyshev 2001 [166],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Na': 0.35, 'Cl': 0.5, 'Li': 0.15}"
NaCl-LiCl,118,55.233,0.8-0.2,1019,5*,SALTDBLEAN-TC [156],----,----,----,2.0489,0.000501,863-1110,5,Katyshev 2001 [166],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Na': 0.4, 'Cl': 0.5, 'Li': 0.1}"
NaCl-LiCl,119,56.8379,0.9-0.1,1045,5*,SALTDBLEAN-TC [156],----,----,----,2.0877,0.000524,880-1115,5,Katyshev 2001 [166],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Na': 0.45, 'Cl': 0.5, 'Li': 0.05}"
LiF-BeF2,120,46.7983,0.01-0.99,814,15,Benes 2009 [14],----,----,----,,,----,----,----,,,,,,980-1240,15,Cantor 1969 [33],,,----,----,----,,,,,----,----,"{'Li': 0.003344481605351171, 'F': 0.6655518394648829, 'Be': 0.3311036789297659}"
LiF-BeF2,121,46.5876,0.02-0.98,804,15,Benes 2009 [14],----,----,----,,,----,----,----,,,,,,900-1240,15,Cantor 1969 [33],,,----,----,----,,,,,----,----,"{'Li': 0.006711409395973154, 'F': 0.6644295302013423, 'Be': 0.32885906040268453}"
LiF-BeF2,122,46.3769,0.03-0.97,796,15,Benes 2009 [14],----,----,----,,,----,----,----,,,,,,880-1180,15,Cantor 1969 [33],,,----,----,----,,,,,----,----,"{'Li': 0.010101010101010102, 'F': 0.6632996632996634, 'Be': 0.3265993265993266}"
LiF-BeF2,123,46.1662,0.04-0.96,788,15,Benes 2009 [14],----,----,----,,,----,----,----,,,,,,880-1080,15,Cantor 1969 [33],,,----,----,----,,,,,----,----,"{'Li': 0.013513513513513514, 'F': 0.6621621621621622, 'Be': 0.32432432432432434}"
LiF-BeF2,124,45.9555,0.05-0.95,782,15,Benes 2009 [14],----,----,----,,,----,----,----,,,,,,840-1100,15,Cantor 1969 [33],,,----,----,----,,,,,----,----,"{'Li': 0.016949152542372885, 'F': 0.6610169491525424, 'Be': 0.3220338983050848}"
LiF-BeF2,125,45.5341,0.07-0.93,774,15,Benes 2009 [14],----,----,----,,,----,----,----,,,,,,860-1100,15,Cantor 1969 [33],,,----,----,----,,,,,----,----,"{'Li': 0.023890784982935155, 'F': 0.658703071672355, 'Be': 0.3174061433447099}"
LiF-BeF2,126,45.1127,0.09-0.91,769,15,Benes 2009 [14],----,----,----,,,----,----,----,,,,,,820-1100,15,Cantor 1969 [33],,,----,----,----,,,,,----,----,"{'Li': 0.03092783505154639, 'F': 0.6563573883161512, 'Be': 0.3127147766323024}"
LiF-BeF2,127,44.902,0.10-0.90,768,15,Benes 2009 [14],----,----,----,,,----,----,----,,,,,,880-1120,15,Cantor 1969 [33],,,----,----,----,,,,,----,----,"{'Li': 0.034482758620689655, 'F': 0.6551724137931034, 'Be': 0.31034482758620685}"
LiF-BeF2,128,44.6913,0.11-0.89,768,15,Benes 2009 [14],----,----,----,2.08,0.000148,1020-1130,0.3,Cantor 1969 [33],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.03806228373702422, 'F': 0.6539792387543253, 'Be': 0.3079584775086505}"
LiF-BeF2,129,43.8486,0.15-0.85,772,15,Benes 2009 [14],----,----,----,,,----,----,----,,,,,,820-1000,15,Cantor 1969 [33],,,----,----,----,,,,,----,----,"{'Li': 0.052631578947368425, 'F': 0.6491228070175439, 'Be': 0.29824561403508776}"
LiF-BeF2,130,42.7951,0.20-0.80,778,15,Benes 2009 [14],----,----,----,,,----,----,----,,,,,,840-980,15,Cantor 1969 [33],,,----,----,----,,,,,----,----,"{'Li': 0.07142857142857142, 'F': 0.6428571428571428, 'Be': 0.2857142857142857}"
LiF-BeF2,131,41.7416,0.25-0.75,778,5*,Benes 2009 [14],----,----,----,2.16,0.000239,860-1130,0.3,Cantor 1969 [33],,,,,,780-960,15,Cantor 1969 [33],,,----,----,----,,,,,----,----,"{'Li': 0.09090909090909091, 'F': 0.6363636363636364, 'Be': 0.2727272727272727}"
LiF-BeF2,132,40.6881,0.30-0.70,771,5*,Benes 2009 [14],----,----,----,,,----,----,----,,,,,,760-940,15,Cantor 1969 [33],,,----,----,----,,,,,----,----,"{'Li': 0.11111111111111112, 'F': 0.6296296296296297, 'Be': 0.25925925925925924}"
LiF-BeF2,133,39.6346,0.35-0.65,750,5*,Benes 2009 [14],----,----,----,,,----,----,----,,,,,,740-980,15,Cantor 1969 [33],,,----,----,----,,,,,----,----,"{'Li': 0.1320754716981132, 'F': 0.6226415094339622, 'Be': 0.24528301886792456}"
LiF-BeF2,134,38.5812,0.40-0.60,714,5*,Benes 2009 [14],----,----,----,,,----,----,----,,,,,,720-840,15,Cantor 1969 [33],,,----,----,----,,,,,----,----,"{'Li': 0.15384615384615385, 'F': 0.6153846153846154, 'Be': 0.23076923076923075}"
LiF-BeF2,135,37.5277,0.45-0.55,661,5*,Benes 2009 [14],----,----,----,,,----,----,----,0.00627,64700.0,,,,680-840,15,Cantor 1969 [33],,,----,----,----,,,,,----,----,"{'Li': 0.1764705882352941, 'F': 0.6078431372549019, 'Be': 0.2156862745098039}"
LiF-BeF2,136,36.4742,0.50-0.50,654,5*,Benes 2009 [14],----,----,----,2.35,0.000424,800-1080,0.3,Cantor 1969 [33],0.00845,58700.0,,,,660-840,15,Cantor 1969 [33],,,----,----,----,,,,,----,----,"{'Li': 0.2, 'F': 0.6, 'Be': 0.2}"
LiF-BeF2,137,35.4207,0.55-0.45,686,5*,Benes 2009 [14],----,----,----,,,----,----,----,0.0207,49600.0,,,,700-820,15,Cantor 1969 [33],,,----,----,----,,,,,----,----,"{'Li': 0.22448979591836735, 'F': 0.5918367346938775, 'Be': 0.18367346938775508}"
LiF-BeF2,138,34.3672,0.60-0.40,715,5*,Benes 2009 [14],----,----,----,,,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.25, 'F': 0.5833333333333334, 'Be': 0.16666666666666669}"
LiF-BeF2,139,33.5245,0.64-0.36,730,5*,Benes 2009 [14],----,----,----,,,----,----,----,0.0594,38300.0,,,,740-860,15,Cantor 1969 [33],,,----,----,----,,,,,----,----,"{'Li': 0.2711864406779661, 'F': 0.576271186440678, 'Be': 0.15254237288135594}"
LiF-BeF2,140,33.1031,0.66-0.34,733,5*,Benes 2009 [14],1673,----,Jerden 2019 [70],2.41,0.000488,787.7-1093.5,1,Cantor 1973 [29],0.116,31200.0,,,,873-1073,15,Cantor 1968 [32],1.1,,773-1173,25,Rosenthal 1969 [122],79.9,,,,1.4,Rosenthal 1969 [122],"{'Li': 0.28205128205128205, 'F': 0.5726495726495726, 'Be': 0.14529914529914528}"
LiF-BeF2,141,32.471,0.69-0.31,783,5*,Benes 2009 [14],----,----,----,,,----,----,----,0.118,30100.0,,,,873-1073,10,Cohen 1957 [42],,,----,----,----,,,,,----,----,"{'Li': 0.2987012987012987, 'F': 0.5670995670995671, 'Be': 0.1341991341991342}"
LiF-RbF,142,70.6997,0.43-0.57,748,5*,Cohen 1957 [42],----,----,----,3.3,0.00069,----,5,Powers 1963 [114],0.0212,38900.0,,,,773-923,10,Cohen 1957 [42],,,----,----,----,117.0,-0.0479,,,10,Powers 1963 [114],"{'Li': 0.215, 'F': 0.5, 'Rb': 0.285}"
LiF-ThF4,143,78.5214,0.8136-0.1864,919,5*,Benes 2010 [15],----,----,----,4.89,0.00092,1040-1220,1,Hill 1967 [64],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.3179118474523288, 'F': 0.6092528915286027, 'Th': 0.07283526101906845}"
LiF-ThF4,144,82.3579,0.80-0.20,894,5*,Benes 2010 [15],----,----,----,4.79,0.000844,1020-1220,1,Hill 1967 [64],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.3076923076923077, 'F': 0.6153846153846154, 'Th': 0.07692307692307693}"
LiF-ThF4,145,138.7763,0.60-0.40,1043,5*,Benes 2010 [15],----,----,----,6.16,0.00104,1080-1260,1,Hill 1967 [64],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.18749999999999997, 'F': 0.6875, 'Th': 0.125}"
LiF-ThF4,146,195.1948,0.40-0.60,1201,5*,Benes 2010 [15],----,----,----,6.93,0.00112,1220-1360,1,Hill 1967 [64],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.10526315789473685, 'F': 0.7368421052631579, 'Th': 0.15789473684210525}"
LiF-ThF4,147,251.6133,0.20-0.80,1304,5*,Benes 2010 [15],----,----,----,7.35,0.00104,1320-1440,1,Hill 1967 [64],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.045454545454545456, 'F': 0.7727272727272727, 'Th': 0.18181818181818182}"
LiF-UF4,148,198.7893,0.40-0.60,1073,5*,Benes 2010 [15],----,----,----,7.89,0.00169,1100-1340,1,Porter 1966 [112],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.10526315789473685, 'F': 0.7368421052631579, 'U': 0.15789473684210525}"
LiF-UF4,149,169.981,0.50-0.50,999,5*,Benes 2010 [15],----,----,----,6.96,0.00128,1040-1340,1,Porter 1966 [112],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.14285714285714285, 'F': 0.7142857142857143, 'U': 0.14285714285714285}"
LiF-UF4,150,161.3385,0.53-0.47,971,5*,Benes 2010 [15],----,----,----,,,----,----,----,0.079,43000.0,,,,973-1073,5,Blanke 1959 [18],,,----,----,----,,,,,----,----,"{'Li': 0.15542521994134897, 'F': 0.7067448680351907, 'U': 0.1378299120234604}"
LiF-UF4,151,141.1727,0.60-0.40,884,5*,Benes 2010 [15],----,----,----,6.39,0.00117,980-1340,1,Porter 1966 [112],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.18749999999999997, 'F': 0.6875, 'U': 0.125}"
LiF-UF4,152,126.7685,0.65-0.35,858,5*,Benes 2010 [15],----,----,----,,,----,----,----,0.17,36400.0,,,,973-1073,5,Blanke 1959 [18],,,----,----,----,,,,,----,----,"{'Li': 0.21311475409836067, 'F': 0.6721311475409836, 'U': 0.11475409836065574}"
LiF-UF4,153,105.1623,0.725-0.275,771,5*,Benes 2010 [15],----,----,----,6.11,0.00127,980-1340,1,Porter 1966 [112],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2566371681415929, 'F': 0.6460176991150443, 'U': 0.09734513274336283}"
LiF-UF4,154,83.556,0.80-0.20,908,5*,Benes 2010 [15],----,----,----,,,----,----,----,0.0441,42900.0,,,,973-1073,5,Blanke 1959 [18],,,----,----,----,,,,,----,----,"{'Li': 0.3076923076923077, 'F': 0.6153846153846154, 'U': 0.07692307692307693}"
LiF-UF4,155,69.1519,0.85-0.15,996,5*,Benes 2010 [15],----,----,----,4.46,0.000729,1020-1340,1,Porter 1966 [112],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.34693877551020413, 'F': 0.5918367346938775, 'U': 0.06122448979591837}"
LiF-ZrF4,156,124.8341,0.30-0.70,996,5*,Thoma 1960 [139],----,----,----,4.74,0.00132,1053-1133,1,Katyshev 1987 [75],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.07317073170731708, 'F': 0.7560975609756098, 'Zr': 0.17073170731707318}"
LiF-ZrF4,157,110.7063,0.40-0.60,911,5*,Thoma 1960 [139],----,----,----,4.49,0.00125,1003-1133,1,Katyshev 1987 [75],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.10526315789473685, 'F': 0.7368421052631579, 'Zr': 0.15789473684210525}"
LiF-ZrF4,158,96.5785,0.50-0.50,787,5*,Thoma 1960 [139],----,----,----,4.42,0.0013,943-1073,1,Katyshev 1987 [75],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.14285714285714285, 'F': 0.7142857142857143, 'Zr': 0.14285714285714285}"
LiF-ZrF4,159,82.4507,0.60-0.40,848,5*,Thoma 1960 [139],----,----,----,3.88,0.000912,993-1103,1,Katyshev 1987 [75],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.18749999999999997, 'F': 0.6875, 'Zr': 0.125}"
LiF-ZrF4,160,68.3229,0.70-0.30,846,5*,Thoma 1960 [139],----,----,----,3.82,0.00101,973-1133,1,Katyshev 1987 [75],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.24137931034482757, 'F': 0.6551724137931034, 'Zr': 0.10344827586206896}"
LiF-ZrF4,161,61.259,0.75-0.25,930,5*,Thoma 1960 [139],----,----,----,3.68,0.0009,1013-1083,1,Katyshev 1987 [75],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2727272727272727, 'F': 0.6363636363636364, 'Zr': 0.09090909090909091}"
LiF-ZrF4,162,57.5857,0.776-0.224,910,5*,Thoma 1960 [139],----,----,----,3.21,0.000562,1055-1145,1,Katyshev 1987 [75],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.2904191616766467, 'F': 0.625748502994012, 'Zr': 0.08383233532934131}"
LiF-ZrF4,163,54.195,0.80-0.20,891,5*,Thoma 1960 [139],----,----,----,3.19,0.0006,1073-1153,1,Katyshev 1987 [75],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.3076923076923077, 'F': 0.6153846153846154, 'Zr': 0.07692307692307693}"
LiF-ZrF4,164,52.641,0.811-0.189,909,5*,Thoma 1960 [139],----,----,----,3.25,0.000683,1045-1135,1,Katyshev 1987 [75],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.31593299571484224, 'F': 0.6104402025710947, 'Zr': 0.0736268017140631}"
LiF-ZrF4,165,48.4026,0.841-0.159,957,5*,Thoma 1960 [139],----,----,----,3.29,0.000775,1051-1140,1,Katyshev 1987 [75],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.3395236172789665, 'F': 0.5962858296326201, 'Zr': 0.06419055308841341}"
LiF-ZrF4,166,47.1311,0.85-0.15,971,5*,Thoma 1960 [139],----,----,----,3.25,0.00075,1043-1133,1,Katyshev 1987 [75],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.34693877551020413, 'F': 0.5918367346938775, 'Zr': 0.06122448979591837}"
LiF-ZrF4,167,44.8707,0.866-0.134,991,5*,Thoma 1960 [139],----,----,----,3.23,0.000755,1070-1162,1,Katyshev 1987 [75],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.36053288925895083, 'F': 0.5836802664446294, 'Zr': 0.05578684429641965}"
LiF-ZrF4,168,41.9038,0.887-0.113,1016,5*,Thoma 1960 [139],----,----,----,3.18,0.000798,1070-1158,1,Katyshev 1987 [75],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Li': 0.3792218896964515, 'F': 0.5724668661821292, 'Zr': 0.04831124412141941}"
