System,id,Mol Mass,Mol Frac,Melt(K),Var(%),Reference,Boil(K),Var(%) .1,Reference,rho_a,rho_b,range(K),Var(%) .2,Reference,mu1_a,mu1_b,mu2_a,mu2_b,mu2_c,range(K)      .1,Var(%) .3,Reference,k_a,k_b,range(K),Var(%) .4,Reference   .1,cp_a,cp_b,cp_c,cp_d,Var(%) .5,Reference,Composition
KCl-NaCl,47,71.2088,0.7925-0.2075,994,5*,Yin 2020 [153],----,----,----,2.14,0.000581,1005-1200,1,Van Artsdalen 1955 [144],0.0339,31100.0,,,,----,30,Murgulescu 1965 [100],,,----,----,----,,,,,----,----,"{'K': 0.39625, 'Cl': 0.5, 'Na': 0.10375}"
KCl-MgCl2,48,93.145,0.10-0.90,959,5*,Chartrand 2001 [35],----,----,----,2.08,0.000394,1060-1110,1,Lillebuen 1969 [90],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.034482758620689655, 'Cl': 0.6551724137931034, 'Mg': 0.31034482758620685}"
KCl-MgCl2,49,90.5419,0.226-0.774,897,5*,Chartrand 2001 [35],----,----,----,2.22,0.000539,1060-1130,1,Lillebuen 1969 [90],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.08147080028839221, 'Cl': 0.6395097332372026, 'Mg': 0.2790194664744052}"
KCl-MgCl2,50,88.4966,0.325-0.675,824,5*,Chartrand 2001 [35],----,----,----,2.26,0.000601,1060-1160,1,Lillebuen 1969 [90],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.12149532710280372, 'Cl': 0.6261682242990654, 'Mg': 0.2523364485981308}"
KCl-MgCl2,51,88.2487,0.337-0.663,815,5*,Chartrand 2001 [35],----,----,----,2.16,0.000509,1050-1120,1,Lillebuen 1969 [90],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.12654900488171236, 'Cl': 0.6244836650394292, 'Mg': 0.2489673300788584}"
KCl-MgCl2,52,87.2983,0.383-0.617,778,5*,Chartrand 2001 [35],----,----,----,2.19,0.000556,1060-1140,1,Lillebuen 1969 [90],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.14635078333970195, 'Cl': 0.6178830722200993, 'Mg': 0.2357661444401987}"
KCl-MgCl2,53,85.7075,0.46-0.54,755,5*,Chartrand 2001 [35],----,----,----,,,----,----,----,0.174,16800.0,,,,----,15,Bondarenko 1966 [21],,,----,----,----,,,,,----,----,"{'K': 0.18110236220472442, 'Cl': 0.6062992125984252, 'Mg': 0.2125984251968504}"
KCl-MgCl2,54,85.6042,0.465-0.535,756,5*,Chartrand 2001 [35],----,----,----,2.19,0.000571,1060-1130,1,Lillebuen 1969 [90],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.1834319526627219, 'Cl': 0.6055226824457594, 'Mg': 0.21104536489151873}"
KCl-MgCl2,55,84.9431,0.497-0.503,761,5*,Chartrand 2001 [35],----,----,----,2.1,0.000503,1080-1170,1,Lillebuen 1969 [90],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.19856172592888532, 'Cl': 0.6004794246903715, 'Mg': 0.2009588493807431}"
KCl-MgCl2,56,84.8605,0.501-0.499,761,5*,Chartrand 2001 [35],----,----,----,,,----,----,----,0.168,17000.0,,,,----,15,Bondarenko 1966 [21],,,----,----,----,,,,,----,----,"{'K': 0.2004801920768307, 'Cl': 0.5998399359743898, 'Mg': 0.1996798719487795}"
KCl-MgCl2,57,83.6209,0.561-0.439,752,5*,Chartrand 2001 [35],----,----,----,,,----,----,----,0.0776,22900.0,,,,----,15,Bondarenko 1966 [21],,,----,----,----,,,,,----,----,"{'K': 0.23001230012300125, 'Cl': 0.5899958999589996, 'Mg': 0.17999179991799918}"
KCl-MgCl2,58,83.2697,0.578-0.422,746,10,Chartrand 2001 [35],----,----,----,2.14,0.000555,1030-1140,1,Lillebuen 1969 [90],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.23864574731626756, 'Cl': 0.5871180842279109, 'Mg': 0.17423616845582166}"
