System      , id , Mol Mass , Mol Frac             , Melt(K) , Var(%) , Reference   , Boil(K) , Var(%) , Reference      , rho_a     , rho_b     , range(K)      , Var(%) , Reference     , mu1_a     , mu1_b     , mu2_a      , mu2_b      , mu2_c     , range(K)      , Var(%) , Reference    , k_a        , k_b        , range(K)     , Var(%) , Reference   , cp_a      , cp_b       , cp_c       , cp_d      , Var(%) , Reference
KCl-UCl3,73,247.2467,0.36-0.64,960,10,Yingling 2023 [161],----,----,----,4.53E+00,7.96E-04,1022-1184,1,Desyatnik 1976 [45],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3,74,236.4533,0.4-0.6,930,10,Yingling 2023 [161],----,----,----,----,----,----,----,----,----,----,-1.2387,1781,0,953-1245,15*,Katyshev 2001 [166],,,,,,,,,,,
KCl-UCl3,75,222.9614,0.45-0.55,874,10,Yingling 2023 [161],----,----,----,4.61E+00,1.08E-03,919-1118,1,Desyatnik 1976 [45],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3,76,220.2631,0.46-0.54,864,10,Yingling 2023 [161],----,----,----,4.43E+00,9.53E-04,965-1138,1,Desyatnik 1976 [45],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3,77,209.4696,0.5-0.5,815,10,Yingling 2023 [161],----,----,----,----,----,----,----,----,----,----,-1.2151,1657,0,873-1260,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3,78,200.0253,0.535-0.465,837,10,Yingling 2023 [161],----,----,----,4.12E+00,8.93E-04,863-1115,1,Desyatnik 1976 [45],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3,79,189.2319,0.575-0.425,858,10,Yingling 2023 [161],----,----,----,3.99E+00,8.92E-04,865-1134,1,Desyatnik 1976 [45],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3,80,182.4859,0.60-0.40,869,10,Yingling 2023 [161],----,----,----,3.80E+00,7.98E-04,932-1120,1,Desyatnik 1976 [45],----,----,-1.2414,1638,0,948-1239,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3,81,173.5813,0.633-0.367,879,10,Yingling 2023 [161],----,----,----,3.61E+00,7.36E-04,910-1141,1,Desyatnik 1976 [45],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3,82,164.4069,0.667-0.333,883,10,Yingling 2023 [161],----,----,----,3.55E+00,7.87E-04,969-1094,1,Desyatnik 1976 [45],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3,83,160.3593,0.682-0.318,883,10,Yingling 2023 [161],----,----,----,3.49E+00,7.78E-04,950-1159,1,Desyatnik 1976 [45],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3,84,155.5023,0.7-0.3,879,10,Yingling 2023 [161],----,----,----,----,----,----,----,----,----,----,-1.0585,1346,0,975-1222,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3,85,142.0105,0.75-0.25,880,10,Yingling 2023 [161],----,----,----,3.33E+00,8.33E-04,975-1158,1,Desyatnik 1976 [45],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
