System      , id , Mol Mass , Mol Frac             , Melt(K) , Var(%) , Reference   , Boil(K) , Var(%) , Reference      , rho_a     , rho_b     , range(K)      , Var(%) , Reference     , mu1_a     , mu1_b     , mu2_a      , mu2_b      , mu2_c     , range(K)      , Var(%) , Reference    , k_a        , k_b        , range(K)     , Var(%) , Reference   , cp_a      , cp_b       , cp_c       , cp_d      , Var(%) , Reference
KCl-LiCl-UCl4,441,110.0585,0.74-0.13-0.13,959,5*,SALTDBLEAN-TC [156],----,----,----,2.82E+00,7.87E-04,967-1060,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl4,442,88.9534,0.91-0.05-0.04,1038,5*,SALTDBLEAN-TC [156],----,----,----,2.43E+00,6.60E-04,1021-1135,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl4,443,263.1836,0.15-0.21-0.64,795,5*,SALTDBLEAN-TC [156],----,----,----,4.15E+00,1.17E-03,813-942,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl4,444,230.8881,0.3-0.17-0.53,767,5*,SALTDBLEAN-TC [156],----,----,----,3.7551,0.000939,787-944,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl4,445,189.4338,0.48-0.13-0.39,728,5*,SALTDBLEAN-TC [156],----,----,----,3.59E+00,9.76E-04,843-996,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl4,446,162.9225,0.6-0.1-0.3,707,5*,SALTDBLEAN-TC [156],----,----,----,3.31E+00,9.27E-04,895-1018,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl4,447,130.6269,0.75-0.06-0.19,918,5*,SALTDBLEAN-TC [156],----,----,----,3.10E+00,8.92E-04,870-1003,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-LiCl-UCl4,448,94.9569,0.9-0.03-0.07,1034,5*,SALTDBLEAN-TC [156],----,----,----,2.69E+00,7.93E-04,991-1119,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,449,243.8639,0.15-0.21-0.64,987,5*,SALTDBLEAN-TC [156],----,----,----,4.10E+00,4.03E-04,995-1122,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,450,214.8263,0.3-0.17-0.53,886,5*,SALTDBLEAN-TC [156],----,----,----,4.02E+00,6.70E-04,984-1141,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,451,182.9291,0.45-0.14-0.41,816,5*,SALTDBLEAN-TC [156],----,----,----,3.63E+00,6.63E-04,998-1123,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,452,153.8914,0.6-0.1-0.3,867,5*,SALTDBLEAN-TC [156],----,----,----,2.96E+00,3.44E-04,970-1123,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,453,124.8537,0.75-0.06-0.19,858,5*,SALTDBLEAN-TC [156],----,----,----,2.58E+00,3.57E-04,973-1130,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,454,92.9566,0.9-0.03-0.07,1003,5*,SALTDBLEAN-TC [156],----,----,----,2.37E+00,5.12E-04,1070-1163,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,455,180.3716,0.15-0.43-0.42,795,5*,SALTDBLEAN-TC [156],----,----,----,3.60E+00,6.00E-04,934-1126,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,456,163.3561,0.3-0.35-0.35,735,5*,SALTDBLEAN-TC [156],----,----,----,3.20E+00,5.23E-04,961-1147,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,457,146.3407,0.44-0.28-0.28,814,5*,SALTDBLEAN-TC [156],----,----,----,3.20E+00,7.09E-04,966-1127,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,458,125.2969,0.6-0.2-0.2,811,5*,SALTDBLEAN-TC [156],----,----,----,2.69E+00,4.82E-04,993-1118,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,459,104.2532,0.75-0.13-0.12,928,5*,SALTDBLEAN-TC [156],----,----,----,2.74E+00,7.30E-04,979-1134,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,460,87.2377,0.9-0.05-0.05,1009,5*,SALTDBLEAN-TC [156],----,----,----,2.41E+00,6.75E-04,1050-1170,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,461,120.9075,0.15-0.64-0.21,946,5*,SALTDBLEAN-TC [156],----,----,----,2.91E+00,4.94E-04,1007-1161,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,462,111.886,0.3-0.53-0.17,925,5*,SALTDBLEAN-TC [156],----,----,----,2.85E+00,6.22E-04,992-1148,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,463,105.7239,0.45-0.41-0.14,881,5*,SALTDBLEAN-TC [156],----,----,----,2.62E+00,5.32E-04,975-1127,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,464,96.7024,0.6-0.3-0.1,894,5*,SALTDBLEAN-TC [156],----,----,----,2.54E+00,5.90E-04,1025-1147,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,465,87.6809,0.75-0.19-0.06,960,5*,SALTDBLEAN-TC [156],----,----,----,2.17E+00,4.40E-04,995-1153,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,466,81.5188,0.9-0.07-0.03,1014,5*,SALTDBLEAN-TC [156],----,----,----,2.16E+00,5.41E-04,1069-1232,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,467,123.8872,0.69-0.12-0.19,843,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-0.9731,1011,0,896-1246,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,468,113.8591,0.6-0.24-0.16,850,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-0.6816,1014,0,787-1239,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,469,103.1866,0.47-0.4-0.13,878,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-0.8875,985,0,925-1242,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,470,86.5743,0.29-0.63-0.08,965,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.0651,1141,0,972-1254,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,471,71.9747,0.13-0.83-0.04,1029,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.2142,1429,0,1165-1256,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,472,150.7098,0.58-0.13-0.29,858,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.0839,1314,0,929-1263,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,473,137.8222,0.49-0.26-0.25,816,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.0859,1291,0,829-1248,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,474,119.0547,0.39-0.42-0.19,878,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.0694,1186,0,927-1240,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,475,96.7833,0.25-0.63-0.12,966,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.058,1178,0,973-1238,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,476,74.512,0.11-0.84-0.05,1032,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.1352,1326,0,1047-1229,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,477,187.6815,0.39-0.18-0.43,779,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.1417,1517,0,876-1232,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,478,156.8917,0.29-0.37-0.34,733,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.2786,1411,0,815-1227,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,479,133.4729,0.22-0.53-0.25,882,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.2429,1349,0,922-1219,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,480,103.4286,0.13-0.72-0.15,991,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.0553,1174,0,1002-1222,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,481,82.446,0.07-0.85-0.08,1034,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.0878,1232,0,1034-1225,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,482,241.8099,0.2-0.17-0.63,976,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.3571,1705,0,1018-1219,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,483,203.9927,0.16-0.34-0.5,884,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.3954,1616,0,935-1217,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,484,166.7599,0.11-0.52-0.37,714,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.4507,1500,0,873-1209,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,485,128.1972,0.07-0.69-0.24,914,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.285,1365,0,943-1216,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl-UCl3,486,90.5411,0.04-0.85-0.11,1028,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.213,1357,0,1068-1222,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,487,312.6378,0.14-0.69-0.17,1051,5*,SALTDBLEAN-TC [156],----,----,----,5.67E+00,1.45E-03,1068-1196,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,488,296.0931,0.2-0.64-0.16,1042,5*,SALTDBLEAN-TC [156],----,----,----,5.16E+00,1.15E-03,1098-1196,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,489,240.7076,0.4-0.48-0.12,969,5*,SALTDBLEAN-TC [156],----,----,----,4.55E+00,1.06E-03,958-1049,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,490,199.1685,0.55-0.36-0.09,805,5*,SALTDBLEAN-TC [156],----,----,----,3.95E+00,9.28E-04,885-1041,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,491,157.6295,0.7-0.24-0.06,866,5*,SALTDBLEAN-TC [156],----,----,----,3.38E+00,8.24E-04,965-1078,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,492,143.7831,0.75-0.2-0.05,859,5*,SALTDBLEAN-TC [156],----,----,----,3.10E+00,6.91E-04,963-1108,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,493,116.0904,0.85-0.12-0.03,944,5*,SALTDBLEAN-TC [156],----,----,----,2.79E+00,6.64E-04,989-1109,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,494,301.7655,0.2-0.48-0.32,1042,5*,SALTDBLEAN-TC [156],----,----,----,5.65E+00,1.73E-03,1031-1105,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,495,273.3638,0.3-0.42-0.28,1042,5*,SALTDBLEAN-TC [156],----,----,----,4.89E+00,1.24E-03,991-1091,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,496,216.5602,0.5-0.3-0.2,954,5*,SALTDBLEAN-TC [156],----,----,----,4.09E+00,9.85E-04,873-990,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,497,188.1584,0.6-0.24-0.16,832,5*,SALTDBLEAN-TC [156],----,----,----,3.46E+00,6.87E-04,898-1054,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,498,145.5558,0.75-0.15-0.1,833,5*,SALTDBLEAN-TC [156],----,----,----,3.10E+00,7.18E-04,928-1056,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,499,117.154,0.85-0.09-0.06,947,5*,SALTDBLEAN-TC [156],----,----,----,2.77E+00,6.64E-04,976-1083,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,500,306.0199,0.2-0.36-0.44,1043,5*,SALTDBLEAN-TC [156],----,----,----,5.64E+00,1.93E-03,1002-1086,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,501,262.7082,0.35-0.29-0.36,1067,5*,SALTDBLEAN-TC [156],----,----,----,4.71E+00,1.32E-03,957-1057,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,502,222.8403,0.5-0.22-0.28,999,5*,SALTDBLEAN-TC [156],----,----,----,4.20E+00,1.19E-03,912-1047,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,503,190.2856,0.6-0.18-0.22,821,5*,SALTDBLEAN-TC [156],----,----,----,3.68E+00,9.34E-04,873-1007,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,504,164.9732,0.7-0.14-0.16,839,5*,SALTDBLEAN-TC [156],----,----,----,3.1889,0.000702,950-1046,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,505,132.4185,0.8-0.09-0.11,882,5*,SALTDBLEAN-TC [156],----,----,----,2.95E+00,6.94E-04,978-1086,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,506,310.2743,0.2-0.24-0.56,1010,5*,SALTDBLEAN-TC [156],----,----,----,5.11E+00,1.71E-03,851-943,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,507,251.3435,0.4-0.18-0.42,1081,5*,SALTDBLEAN-TC [156],----,----,----,4.55E+00,1.52E-03,827-942,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,508,218.8253,0.51-0.15-0.34,1001,5*,SALTDBLEAN-TC [156],----,----,----,4.04E+00,1.17E-03,887-977,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,509,192.4128,0.6-0.12-0.28,808,5*,SALTDBLEAN-TC [156],----,----,----,3.68E+00,1.01E-03,916-1028,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,510,144.5936,0.76-0.07-0.17,817,5*,SALTDBLEAN-TC [156],----,----,----,3.21E+00,8.47E-04,834-951,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,511,115.1282,0.86-0.04-0.1,961,5*,SALTDBLEAN-TC [156],----,----,----,2.79E+00,6.87E-04,1001-1137,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,512,314.5286,0.2-0.12-0.68,891,5*,SALTDBLEAN-TC [156],----,----,----,4.91E+00,1.71E-03,869-948,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,513,257.5872,0.39-0.09-0.52,1056,5*,SALTDBLEAN-TC [156],----,----,----,4.10E+00,1.14E-03,770-949,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,514,224.7144,0.5-0.07-0.43,1017,5*,SALTDBLEAN-TC [156],----,----,----,4.06E+00,1.26E-03,781-941,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,515,194.54,0.6-0.06-0.34,796,5*,SALTDBLEAN-TC [156],----,----,----,3.59E+00,9.53E-04,884-985,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,516,164.7201,0.7-0.04-0.26,834,5*,SALTDBLEAN-TC [156],----,----,----,3.4068,0.000944,904-1024,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,517,134.5456,0.8-0.03-0.17,900,5*,SALTDBLEAN-TC [156],----,----,----,3.06E+00,8.09E-04,928-1039,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl3-UCl4,518,104.7257,0.9-0.01-0.09,996,5*,SALTDBLEAN-TC [156],----,----,----,2.60E+00,6.44E-04,1030-1153,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-NaCl-AlCl3,519,91.077,0.30-0.20-0.50,382,----,SALTDBLEAN-TC [156],----,----,----,2.01E+00,7.95E-04,397-534,1,Carpio 1981 [34],4.48E-02,1.60E+04,----,----,----,384-534,1,Carpio 1981 [34],----,----,----,----,----,----,----,----,----,----,----
LiCl-NaCl-AlCl3,520,89.4721,0.40-0.10-0.50,402,----,SALTDBLEAN-TC [156],----,----,----,1.98E+00,7.64E-04,418-535,1,Carpio 1981 [34],0.0495,15800,----,----,----,424-574,1,Carpio 1981 [34],----,----,----,----,----,----,----,----,----,----,----
LiCl-NaCl-AlCl3,521,92.6819,0.20-0.30-0.50,394,----,SALTDBLEAN-TC [156],----,----,----,2.03E+00,7.94E-04,419-545,1,Carpio 1981 [34],4.41E-02,1.59E+04,----,----,----,372-534,1,Carpio 1981 [34],----,----,----,----,----,----,----,----,----,----,----
LiCl-NaCl-AlCl3,522,94.2868,0.10-0.40-0.50,414,----,SALTDBLEAN-TC [156],----,----,----,2.04E+00,7.91E-04,432-606,1,Carpio 1981 [34],5.38E-02,1.50E+04,----,----,----,383-556,1,Carpio 1981 [34],----,----,----,----,----,----,----,----,----,----,----
LiCl-NaCl-AlCl3,523,100.1717,0.20-0.20-0.60,387,----,SALTDBLEAN-TC [156],----,----,----,2.02E+00,8.69E-04,426-482,1,Carpio 1981 [34],3.32E-02,1.77E+04,----,----,----,384-532,1,Carpio 1981 [34],----,----,----,----,----,----,----,----,----,----,----
LiCl-NaCl-AlCl3,524,98.5668,0.30-0.10-0.60,395,----,SALTDBLEAN-TC [156],----,----,----,2.00E+00,8.60E-04,426-500,1,Carpio 1981 [34],3.19E-02,1.80E+04,----,----,----,383-552,1,Carpio 1981 [34],----,----,----,----,----,----,----,----,----,----,----
LiCl-NaCl-AlCl3,525,101.7766,0.10-0.30-0.60,380,----,SALTDBLEAN-TC [156],----,----,----,2.03E+00,8.49E-04,426-520,1,Carpio 1981 [34],5.99E-02,1.50E+04,----,----,----,387-572,1,Carpio 1981 [34],----,----,----,----,----,----,----,----,----,----,----
LiCl-NaCl-AlCl3,526,107.6615,0.20-0.10-0.70,447,----,SALTDBLEAN-TC [156],----,----,----,2.05E+00,9.89E-04,468-492,1,Carpio 1981 [34],3.23E-02,1.75E+04,----,----,----,439-533,1,Carpio 1981 [34],----,----,----,----,----,----,----,----,----,----,----
LiCl-NaCl-AlCl3,527,109.2663,0.10-0.20-0.70,443,----,SALTDBLEAN-TC [156],----,----,----,2.07E+00,9.89E-04,464-545,1,Carpio 1981 [34],3.66E-02,1.71E+04,----,----,----,439-553,1,Carpio 1981 [34],----,----,----,----,----,----,----,----,----,----,----
LiCl-NaCl-AlCl3,528,116.7561,0.10-0.10-0.80,454,----,SALTDBLEAN-TC [156],----,----,----,2.11E+00,1.27E-03,473-492,1,Carpio 1981 [34],0.0284,16200,----,----,----,475-533,1,Carpio 1981 [34],----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3-UCl4,529,306.679,0.2-0.16-0.64,821,5*,SALTDBLEAN-TC [156],----,----,----,5.50E+00,2.09E-03,961-1061,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3-UCl4,530,257.1256,0.35-0.13-0.52,812,5*,SALTDBLEAN-TC [156],----,----,----,5.14E+00,1.90E-03,887-995,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3-UCl4,531,204.1977,0.51-0.1-0.39,837,5*,SALTDBLEAN-TC [156],----,----,----,4.33E+00,1.29E-03,840-993,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3-UCl4,532,158.0187,0.65-0.07-0.28,845,5*,SALTDBLEAN-TC [156],----,----,----,4.06E+00,1.29E-03,864-992,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3-UCl4,533,108.4653,0.8-0.04-0.16,839,5*,SALTDBLEAN-TC [156],----,----,----,3.17E+00,7.33E-04,848-990,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3-UCl4,534,294.6122,0.22-0.31-0.47,849,5*,SALTDBLEAN-TC [156],----,----,----,4.64E+00,9.33E-04,966-1082,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3-UCl4,535,246.1223,0.37-0.25-0.38,800,5*,SALTDBLEAN-TC [156],----,----,----,4.68E+00,1.20E-03,953-1048,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3-UCl4,536,204.0269,0.5-0.2-0.3,823,5*,SALTDBLEAN-TC [156],----,----,----,4.20E+00,9.29E-04,964-1053,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3-UCl4,537,149.1426,0.67-0.13-0.2,836,5*,SALTDBLEAN-TC [156],----,----,----,3.58E+00,6.75E-04,908-1006,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3-UCl4,538,90.8839,0.85-0.06-0.09,825,5*,SALTDBLEAN-TC [156],----,----,----,2.84E+00,5.48E-04,900-1005,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3-UCl4,539,294.9796,0.2-0.49-0.31,962,5*,SALTDBLEAN-TC [156],----,----,----,5.56E+00,1.61E-03,1003-1098,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3-UCl4,540,247.5533,0.35-0.4-0.25,898,5*,SALTDBLEAN-TC [156],----,----,----,5.24E+00,1.51E-03,964-1063,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3-UCl4,541,197.1071,0.51-0.3-0.19,810,5*,SALTDBLEAN-TC [156],----,----,----,4.21E+00,8.40E-04,915-1005,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3-UCl4,542,162.4696,0.62-0.23-0.15,815,5*,SALTDBLEAN-TC [156],----,----,----,4.35E+00,1.17E-03,895-1007,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3-UCl4,543,108.649,0.79-0.13-0.08,812,5*,SALTDBLEAN-TC [156],----,----,----,3.82E+00,1.24E-03,882-1003,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3-UCl4,544,289.6616,0.2-0.64-0.16,1023,5*,SALTDBLEAN-TC [156],----,----,----,5.56E+00,1.34E-03,1064-1210,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3-UCl4,545,243.2989,0.35-0.52-0.13,970,5*,SALTDBLEAN-TC [156],----,----,----,5.22E+00,1.27E-03,970-1205,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
